id,heading,job_title,company_name,location,no_of_positions,published,deadline,url,img
287567538,Vi ser etter erfaren frontend-utvikler som vil bidra til at TV2.no blir Norges største nyhetsnettsted,Frontend-Utvikler - Coretech,TV 2,Bergen,1,1673641260000,1677193200000,https://www.finn.no/job/fulltime/ad.html?finnkode=287567538,https://images.finncdn.no/dynamic/default/2023/1/vertical-1/13/8/287/567/538_434778338.jpg
242455116,"Har du lyst på nye utfordringer, et knallbra miljø og virkelig gode kunder?",Vi søker dyktige utviklere i Tromsø,Item Consulting AS,Tromsø,1,1672730220000,,https://www.finn.no/job/fulltime/ad.html?finnkode=242455116,https://images.finncdn.no/dynamic/default/2022/6/vertical-0/30/6/242/455/116_2110384984.jpg
286633180,Er du en teknolog med erfaring og meninger om teknologi?,Systemutvikler,Flyt IT AS,Gran,2,1673010000000,,https://www.finn.no/job/fulltime/ad.html?finnkode=286633180,https://images.finncdn.no/dynamic/default/2023/1/vertical-0/06/0/286/633/180_1978800401.png
285335942,Er du en nysgjerrig utvikler som liker å forske på hvordan fremtidens nyhetsformidling skal se ut? Brenner du for å lage,Frontend/Fullstack-utvikler,TV 2,Oslo,1,1671789960000,,https://www.finn.no/job/fulltime/ad.html?finnkode=285335942,https://images.finncdn.no/dynamic/default/2022/12/vertical-1/23/2/285/335/942_1576168508.jpg
286127267,Er du en erfaren fullstack-utvikler som har ambisjoner om å utvikle deg videre i et større mangfoldig fagmiljø?,Er du en erfaren fullstack-utvikler som har ambisjoner om å utvikle deg videre i et større mangfoldig fagmiljø?,NRK,Oslo,2,1672651320000,1674342000000,https://www.finn.no/job/fulltime/ad.html?finnkode=286127267,https://images.finncdn.no/dynamic/default/2023/1/vertical-1/02/7/286/127/267_78227612.jpg
302740077,Frontend Developer,Frontendutvikler,SocialScreen AS,Trondheim,1,1683791820000,,https://www.finn.no/job/fulltime/ad.html?finnkode=302740077,https://images.finncdn.no/dynamic/default/2023/5/vertical-0/11/7/302/740/077_1221966224.png
305549879,"Svalbard - et sted som betyr noe, med en jobb som betyr noe",Produktutvikler,Where2O AS,Longyearbyen,1,1685609400000,,https://www.finn.no/job/fulltime/ad.html?finnkode=305549879,https://images.finncdn.no/dynamic/default/2023/6/vertical-0/01/9/305/549/879_1030396509.png
301907699,Utvikler til spennende teknologiselskap,Full-Stack Utvikler,Indent AS,Moss,1,1683284160000,,https://www.finn.no/job/fulltime/ad.html?finnkode=301907699,https://images.finncdn.no/dynamic/default/2023/5/vertical-0/05/9/301/907/699_1777482505.jpg
307037691,Frontend developer,Frontend developer,Veyt AS,Oslo,1,1686643560000,,https://www.finn.no/job/fulltime/ad.html?finnkode=307037691,https://images.finncdn.no/dynamic/default/2023/6/vertical-0/13/1/307/037/691_405346298.png
303681986,Vi ser etter en erfaren frontend-utvikler som vil bidra til at TV2.no blir Norges største nyhetsnettsted.,Frontend-utvikler - Coretech,TV 2,Bergen,1,1684479840000,,https://www.finn.no/job/fulltime/ad.html?finnkode=303681986,https://images.finncdn.no/dynamic/default/2023/5/vertical-1/24/6/303/681/986_1122830931.png
298537203,Vil du være med og bygge videre på Norges fremste frontend-miljø?,Frontend-utvikler,Sopra Steria,Oslo,1,1686904620000,1688248800000,https://www.finn.no/job/fulltime/ad.html?finnkode=298537203,https://images.finncdn.no/dynamic/default/2023/6/vertical-0/16/3/298/537/203_724467918.jpg
309081975,Trigges du av moderne teknologi? Bli en del av Bouvet sitt DNA!,Systemutvikler,Bouvet Norge AS,Kristiansand S,2,1688119740000,1693432800000,https://www.finn.no/job/fulltime/ad.html?finnkode=309081975,https://images.finncdn.no/dynamic/default/2023/6/vertical-1/30/5/309/081/975_1630406231.jpg
309069451,Kickstart din karriere som Senior Utvikler - .NET/ Java med konsulenterfaring,Utvikler,,Oslo,5,1688115011863,,https://www.finn.no/job/fulltime/ad.html?finnkode=309069451,
309854774,Fullstack Utvikler - Sport,Fullstack Utvikler - Sport,TV 2,Bergen,1,1688630340000,,https://www.finn.no/job/fulltime/ad.html?finnkode=309854774,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/06/4/309/854/774_253416770.png
312125885,Are you our new API Developer/Technical Evangelist?,API Developer/Technical Evangelist,FutureOn AS,Oslo,1,1690285680000,,https://www.finn.no/job/fulltime/ad.html?finnkode=312125885,https://images.finncdn.no/dynamic/default/2023/7/vertical-0/25/5/312/125/885_725008097.png
314511574,Vil du jobbe sammen med oss for å lage engasjerende interaksjon til publikum? ,Webutvikler,NRK,Oslo,1,1691655120000,1693346400000,https://www.finn.no/job/fulltime/ad.html?finnkode=314511574,https://images.finncdn.no/dynamic/default/2023/8/vertical-1/10/4/314/511/574_963544686.jpg
316655528,Kickstart din karriere som Senior Utvikler - .NET/ Java med konsulenterfaring,Utvikler,,Oslo,3,1692866150875,,https://www.finn.no/job/fulltime/ad.html?finnkode=316655528,
